id,canisterId,canisterNo,date,type,content,weight,location,status,note,createdBy,createdAt
P1_ch01,P1_cn01,P1-CN-001,2026-06-01,반입,톨루엔,180,2공장현장,사용중,최초 충전,admin,2026-06-01T00:00:00.000Z
P1_ch02,P1_cn03,P1-CN-003,2026-06-01,반입,황산,90,4류창고,사용중,최초 충전,admin,2026-06-01T00:00:00.000Z
P1_ch03,P1_cn05,P1-CN-005,2026-06-01,반입,아세톤,45,2공장현장,사용중,최초 충전,admin,2026-06-01T00:00:00.000Z
ch_c248e991bcdc,P1_cn01,P1-CN-001,2026-06-27,상태변경,톨루엔,180,3류창고,사용중,테스트 이동,user2,2026-06-27T03:55:35.422Z
ch_ce86e6293bc7,cn_c9f3a1b81612,P1-CN-TEST-001,2026-06-27,반입,,0,3류창고,수령,신규 등록,user2,2026-06-27T03:55:35.424Z
ch_fea64d295354,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,admin1,2026-06-27T03:55:35.468Z
ch_262e1703f2f9,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,user2,2026-06-27T03:55:35.469Z
ch_b33cfa9dc005,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,user3,2026-06-27T03:55:35.469Z
ch_7221cb1eb9cf,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,user4,2026-06-27T03:55:35.470Z
ch_47d7acc5df76,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,user7,2026-06-27T03:55:35.471Z
ch_50e425c272a5,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,admin,2026-06-27T03:55:35.472Z
ch_dbcbf0c712b6,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,admin,2026-06-27T03:55:35.472Z
ch_3bed65ae6ffd,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,user2,2026-06-27T03:55:35.473Z
ch_c87f8a2b1d9b,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,user3,2026-06-27T03:55:35.474Z
ch_de471267f792,P1_cn02,P1-CN-002,2026-06-27,상태변경,톨루엔,200,3류창고,수령,동시 상태변경,admin1,2026-06-27T03:55:35.476Z
