id,materialType,materialId,materialName,lotNo,content,type,quantity,unit,balanceAfter,batchNo,batchId,note,createdBy,createdAt
tx_0001,raw,rm_0001,톨루엔,T-2026-001,,입고,800,kg,800,,,초기 입고,admin,2026-06-01T00:00:00.000Z
tx_0002,sub,sm_0001,실링패드,L-2026-001,,입고,25,kg,25,,,초기 입고,admin,2026-06-01T00:00:00.000Z
tx_0003,canister,cn_0001,CN-001,,톨루엔,반입,180,kg,180,,,내용물 충전,admin,2026-06-01T00:00:00.000Z
tx_h010,raw,rm_h001,톨루엔,T-2026-H01,,입고,1200,kg,1200,,,이력 데이터,admin,2026-01-05T00:00:00.000Z
tx_h011,raw,rm_h001,톨루엔,T-2026-H01,,출고,900,kg,300,,,이력 데이터,admin,2026-01-20T00:00:00.000Z
tx_h012,raw,rm_h002,톨루엔,T-2026-H02,,입고,800,kg,800,,,이력 데이터,admin,2026-02-05T00:00:00.000Z
tx_h013,raw,rm_h002,톨루엔,T-2026-H02,,출고,750,kg,50,,,이력 데이터,admin,2026-02-20T00:00:00.000Z
tx_h014,raw,rm_h003,톨루엔,T-2026-H03,,입고,1000,kg,1000,,,이력 데이터,admin,2026-03-05T00:00:00.000Z
tx_h015,raw,rm_h003,톨루엔,T-2026-H03,,출고,980,kg,20,,,이력 데이터,admin,2026-03-20T00:00:00.000Z
tx_h016,raw,rm_h004,톨루엔,T-2026-H04,,입고,600,kg,600,,,이력 데이터,admin,2026-04-05T00:00:00.000Z
tx_h017,raw,rm_h004,톨루엔,T-2026-H04,,출고,580,kg,20,,,이력 데이터,admin,2026-04-20T00:00:00.000Z
tx_h018,raw,rm_h005,톨루엔,T-2026-H05,,입고,900,kg,900,,,이력 데이터,admin,2026-05-05T00:00:00.000Z
tx_h019,raw,rm_h005,톨루엔,T-2026-H05,,출고,860,kg,40,,,이력 데이터,admin,2026-05-20T00:00:00.000Z
tx_h020,raw,rm_h006,촉매펠릿,C-2026-H01,,입고,500,ea,500,,,이력 데이터,admin,2026-01-05T00:00:00.000Z
tx_h021,raw,rm_h006,촉매펠릿,C-2026-H01,,출고,350,ea,150,,,이력 데이터,admin,2026-01-20T00:00:00.000Z
tx_h022,raw,rm_h007,촉매펠릿,C-2026-H02,,입고,400,ea,400,,,이력 데이터,admin,2026-02-05T00:00:00.000Z
tx_h023,raw,rm_h007,촉매펠릿,C-2026-H02,,출고,380,ea,20,,,이력 데이터,admin,2026-02-20T00:00:00.000Z
tx_h024,raw,rm_h008,촉매펠릿,C-2026-H03,,입고,300,ea,300,,,이력 데이터,admin,2026-03-05T00:00:00.000Z
tx_h025,raw,rm_h008,촉매펠릿,C-2026-H03,,출고,290,ea,10,,,이력 데이터,admin,2026-03-20T00:00:00.000Z
tx_h026,raw,rm_h009,촉매펠릿,C-2026-H04,,입고,450,ea,450,,,이력 데이터,admin,2026-04-05T00:00:00.000Z
tx_h027,raw,rm_h009,촉매펠릿,C-2026-H04,,출고,420,ea,30,,,이력 데이터,admin,2026-04-20T00:00:00.000Z
tx_h028,raw,rm_h010,촉매펠릿,C-2026-H05,,입고,350,ea,350,,,이력 데이터,admin,2026-05-05T00:00:00.000Z
tx_h029,raw,rm_h010,촉매펠릿,C-2026-H05,,출고,340,ea,10,,,이력 데이터,admin,2026-05-20T00:00:00.000Z
tx_h030,raw,rm_h011,황산,S-2026-H01,,입고,600,L,600,,,이력 데이터,admin,2026-01-05T00:00:00.000Z
